<09:53:35> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:45> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:47> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:47> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:49> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:49> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:51> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:51> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:53> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:53> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:55> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:55> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:57> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:27:57> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:28> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:28> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:29> Starting production...
